REA_Identi,LOTLOTE_ID,TIPO_LOTE,CHIP_RAW,CHIP_FORMATO,CHIP_VALIDADO,CHIP_ASIGNADO,CHIP_USO,CASO_CHIP,CHIP_ALERTA,PCT_GEO,MEJORA,MOTIVO_MEJORA,MATRICULA_INMO,DIRECCION_CATASTRAL,VALOR_TERRENO,VALOR_CONSTRUCCION,VALOR_AVALUO_TOTAL,ESTADO_DEPURADO,LAT_WGS84,LON_WGS84,GMAPS_URL
1997-1-754,8406022001,Univoco,NO REGISTRA,,,AAA0101POXS,AAA0101POXS,CASO9_SIN_CHIP_GEO_98,,100.0,No,,050N00599526,KR 4 127A 03,229284.64,0.0,28660580.0,Adquisicion predial por IDIGER,4.703791,-74.025612,"https://www.google.com/maps?q=4.703791,-74.025612"
2025-19-18254,8406020004,Univoco,AAA0101POBS,AAA0101POBS,,,,,,,,,,,,,,En Proceso,4.703622,-74.025819,"https://www.google.com/maps?q=4.703622,-74.025819"
2025-19-18254,8406020004,Univoco,AAA0101POBS,AAA0101POBS,,,,,,,No,,,,,,,En Proceso,4.703622,-74.025819,"https://www.google.com/maps?q=4.703622,-74.025819"
2011-1-13130,8406022002,Univoco,AAA0101PPAF,AAA0101PPAF,AAA0101PPAF,,AAA0101PPAF,CASO2_EXACTO_GEO_OK,,100.0,No,,001 434 1729,CL 127A BIS B 4 59,190800.0,294855.19,46085852.058,En Proceso,4.703915,-74.025686,"https://www.google.com/maps?q=4.703915,-74.025686"
2009-AP36-00021,4517060012,Univoco,AAA0045BOSK,AAA0045BOSK,AAA0045BOSK,,AAA0045BOSK,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40424280,CL 50 SUR 77H 24,2700000.0,656390.53,243911115.549,En Proceso,4.605541,-74.166616,"https://www.google.com/maps?q=4.605541,-74.166616"
2009-AP36-00022,4517060011,Univoco,AAA0045BORU,AAA0045BORU,AAA0045BORU,,AAA0045BORU,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40424281,CL 50 SUR 77H 18,2700000.0,611272.91,190686530.512,En Proceso,4.605486,-74.166618,"https://www.google.com/maps?q=4.605486,-74.166618"
2009-AP36-00029,4517061006,Univoco,AAA0045BPKC,AAA0045BPKC,AAA0045BPKC,,AAA0045BPKC,CASO7_ALERTA_DISTANCIA,CASO7_ALERTA_DISTANCIA,0.0,Sí,Area terreno cero,,,,,,En Proceso,4.605733,-74.166499,"https://www.google.com/maps?q=4.605733,-74.166499"
2009-AP36-00010,4517059023,Univoco,AAA0045BOAF,AAA0045BOAF,AAA0045BOAF,,AAA0045BOAF,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40424245,CL 48B SUR 77H 29,2700000.0,599977.5,344191860.9,Reasentamiento Terminado,4.605866,-74.16599,"https://www.google.com/maps?q=4.605866,-74.16599"
2015-AP36-00052,4517063014,Univoco,AAA0045BUEA,AAA0045BUEA,AAA0045BUEA,,AAA0045BUEA,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40424237,CL 48B SUR 77K 37,2700000.0,814247.68,286495634.125,En Proceso,4.606295,-74.165874,"https://www.google.com/maps?q=4.606295,-74.165874"
2009-AP36-00015,4517060018,Univoco,AAA0045BOZM,AAA0045BOZM,AAA0045BOZM,,AAA0045BOZM,CASO2_EXACTO_GEO_OK,,100.0,Sí,Propietario poseedor,050S00000000,KR 77J 49 10 SUR,2700000.0,499647.98,276944235.608,En Proceso,4.605565,-74.166365,"https://www.google.com/maps?q=4.605565,-74.166365"
2018-AP36-15355,4517060021,Univoco,AAA0045BPCN,AAA0045BPCN,AAA0045BPCN,,AAA0045BPCN,CASO2_EXACTO_GEO_OK,,100.0,Sí,Propietario poseedor,050S00000000,CL 49 SUR 77H 11,2700000.0,542312.41,167122116.9,En Proceso,4.605525,-74.166267,"https://www.google.com/maps?q=4.605525,-74.166267"
2009-AP36-00005,4517059004,Univoco,AAA0045BNDE,AAA0045BNDE,AAA0045BNDE,,AAA0045BNDE,CASO2_EXACTO_GEO_OK,,100.0,Sí,Propietario poseedor,050S00000000,CL 49 SUR 77H 10,2700000.0,487536.43,276849275.786,En Proceso,4.605544,-74.166097,"https://www.google.com/maps?q=4.605544,-74.166097"
2009-AP36-00031,4517060015,Univoco,AAA0254KRZM,AAA0254KRZM,AAA0254KRZM,,AAA0254KRZM,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40424234,KR 77J 49 30 SUR,2700000.0,685909.18,285942560.992,En Proceso,4.605568,-74.166502,"https://www.google.com/maps?q=4.605568,-74.166502"
2009-AP36-00011,4517059022,Univoco,AAA0045BNZE,AAA0045BNZE,AAA0045BNZE,,AAA0045BNZE,CASO2_EXACTO_GEO_OK,,100.0,Sí,Propietario poseedor,050S00000000,CL 48B SUR 77H 35,2700000.0,549965.4,283782961.578,En Proceso,4.605915,-74.165984,"https://www.google.com/maps?q=4.605915,-74.165984"
2009-AP36-00001,4517059017,Univoco,AAA0045BNTD,AAA0045BNTD,AAA0045BNTD,,AAA0045BNTD,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40424242,CL 48B SUR 77K 13,2700000.0,0.0,194400000.0,En Proceso,4.606132,-74.165913,"https://www.google.com/maps?q=4.606132,-74.165913"
2009-AP36-00044,4517063012,Univoco,AAA0045BUCX,AAA0045BUCX,AAA0045BUCX,,AAA0045BUCX,CASO2_EXACTO_GEO_OK,,100.0,Sí,Propietario poseedor,050S00000000,CL 48B SUR 77K 51,2700000.0,817078.99,323740422.902,En Proceso,4.606404,-74.165873,"https://www.google.com/maps?q=4.606404,-74.165873"
2009-AP36-00023,4517060007,Univoco,AAA0045BOMS,AAA0045BOMS,AAA0045BOMS,,AAA0045BOMS,CASO2_EXACTO_GEO_OK,,100.0,Sí,Propietario poseedor,050S00000000,KR 77H 49 33 SUR,2700000.0,761880.92,325152544.184,En Proceso,4.605434,-74.166554,"https://www.google.com/maps?q=4.605434,-74.166554"
2009-AP36-00046,4517059009,Univoco,AAA0045BNKC,AAA0045BNKC,AAA0045BNKC,,AAA0045BNKC,CASO2_EXACTO_GEO_OK,,100.0,Sí,Propietario poseedor,050S00000000,CL 49 SUR 77J 20,2700000.0,586896.05,261267709.165,En Proceso,4.605864,-74.166098,"https://www.google.com/maps?q=4.605864,-74.166098"
2009-AP36-00019,4517061004,Univoco,AAA0045BPHK,AAA0045BPHK,AAA0045BPHK,,AAA0045BPHK,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40424229,KR 77J 49 19 SUR,2700000.0,0.0,172800000.0,Reasentamiento Terminado,4.605733,-74.166404,"https://www.google.com/maps?q=4.605733,-74.166404"
2009-AP36-00025,4517061005,Univoco,AAA0045BPJZ,AAA0045BPJZ,AAA0045BPJZ,,AAA0045BPJZ,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40424231,KR 77J 49 23 SUR,2700000.0,0.0,168210000.0,Reasentamiento Terminado,4.605733,-74.166452,"https://www.google.com/maps?q=4.605733,-74.166452"
2009-AP36-00036,4517060001,Univoco,AAA0045BOEA,AAA0045BOEA,AAA0045BOEA,,AAA0045BOEA,CASO2_EXACTO_GEO_OK,,100.0,Sí,Propietario poseedor,050S00000000,CL 49 SUR 77H 05,2700000.0,740655.72,180318097.44,En Proceso,4.605471,-74.166276,"https://www.google.com/maps?q=4.605471,-74.166276"
2009-AP36-00030,4517060014,Univoco,AAA0045BOUZ,AAA0045BOUZ,AAA0045BOUZ,,AAA0045BOUZ,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40424236,KR 77J 49 34 SUR,2700000.0,733022.73,292342446.618,En Proceso,4.605569,-74.166547,"https://www.google.com/maps?q=4.605569,-74.166547"
2018-AP36-15346,4517059008,Univoco,AAA0045BNJZ,AAA0045BNJZ,AAA0045BNJZ,,AAA0045BNJZ,CASO2_EXACTO_GEO_OK,,100.0,Sí,Propietario poseedor,050S00000000,CL 49 SUR 77J 14,2700000.0,823377.69,228222927.54,En Proceso,4.605806,-74.166097,"https://www.google.com/maps?q=4.605806,-74.166097"
2009-AP36-00035,4517060020,Univoco,AAA0045BPBS,AAA0045BPBS,AAA0045BPBS,,AAA0045BPBS,CASO2_EXACTO_GEO_OK,,100.0,Sí,Propietario poseedor,050S00000000,KR 77J 49 02 SUR,2700000.0,546880.22,256656670.648,En Proceso,4.605586,-74.166262,"https://www.google.com/maps?q=4.605586,-74.166262"
2009-AP36-00034,4517060019,Univoco,AAA0045BPAW,AAA0045BPAW,AAA0045BPAW,,AAA0045BPAW,CASO2_EXACTO_GEO_OK,,100.0,Sí,Propietario poseedor,050S00000000,KR 77J 49 08 SUR,2700000.0,586457.12,228595651.848,Reasentamiento Terminado,4.605569,-74.16632,"https://www.google.com/maps?q=4.605569,-74.16632"
2009-AP36-00045,4517060004,Univoco,AAA0045BOJH,AAA0045BOJH,AAA0045BOJH,,AAA0045BOJH,CASO2_EXACTO_GEO_OK,,100.0,Sí,Propietario poseedor,050S00000000,KR 77H 49 17 SUR,2700000.0,565503.32,240601187.563,En Proceso,4.605457,-74.166422,"https://www.google.com/maps?q=4.605457,-74.166422"
2009-AP36-00002,4517059015,Univoco,AAA0045BNRJ,AAA0045BNRJ,AAA0045BNRJ,,AAA0045BNRJ,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40424207,KR 77K BIS A 48B 22 SUR,2700000.0,501039.24,192062354.4,En Proceso,4.606107,-74.166031,"https://www.google.com/maps?q=4.606107,-74.166031"
2009-AP36-00026,4517059024,Univoco,AAA0045BOBR,AAA0045BOBR,AAA0045BOBR,,AAA0045BOBR,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40424246,CL 48B SUR 77H 23,2700000.0,599977.5,289911774.975,En Proceso,4.605809,-74.165996,"https://www.google.com/maps?q=4.605809,-74.165996"
2009-AP36-00016,4517061001,Univoco,AAA0045BPDE,AAA0045BPDE,AAA0045BPDE,,AAA0045BPDE,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40424262,CL 49 SUR 77J 09,2700000.0,1032246.47,331979645.714,Cierre Administrativo Sin Reasentamiento,4.605735,-74.166258,"https://www.google.com/maps?q=4.605735,-74.166258"
